No,soal,a,b,c,kunci
1,Siapa penemu teori relativitas?,Isaac Newton ,Albert Einstein,Nikola Tesla,B
2,Berapakah hasil dari 7 x 8?,56,55,64,A
3,Siapa yang menemukan telepon?,Thomas Edison ,Alexander Graham Bell ,Nikola Tesla ,B
4,Berapakah akar kuadrat dari 144?,10,11,12,C
5,Siapa penemu mesin cetak?,Johannes Gutenberg ,Leonardo da Vinci ,James Watt,A
6,Berapakah hasil dari 15 + 27?,32,44,42,C
7,Berapakah hasil dari 100 dibagi 4?,10,25,20,B
8,Siapa penemu komputer pertama kali?,Bill Gates,Charles Babbage ,Alan Turing ,B
9,Berapakah hasil dari 9^2 (9 pangkat 2)?,81,72,95,A
10,Siapa yang menemukan penicillin?,Louis Pasteur,Joseph Lister,Alexander Fleming,C
